見る、診る,みる,看、诊断
Drama,ドラマ,电视剧
小説,しょうせつ,小说
小説家,しょうせつか,小说家
歌手,かしゅ,歌手
管理人,かんりにん,管理人
息子,むすこ,（我的）儿子
息子さん,むすこさん,（您的）儿子
娘,むすめ,（我的）女儿
娘さん,むすめさん,（您的）女儿
自分,じぶん,自己
将来,しょうらい,将来
暫く,しばらく,不久
大抵,たいてい,大概、通常、几乎
それに,それに,而且
それで,それで,所以、因此
「ちょっと」お願いが　あるんですが,「ちょっと」おねがいが　あるんですが,我有件事想麻烦您一下
Home stay,ホームステイ,外国人短期住在当地人家里体验生活
会話,かいわ,会话
お喋りする,おしゃべりする,聊天
お知らせ,おしらせ,通知
日にち,ひにち,日子
体育館,たいいくかん,体育馆
無料,むりょう,免费
開く（自）,あく,开着
Doorが開く,ドアがあく,［门］开着
閉まる,しまる,关着
Doorが閉まる,ドアがしまる,［门］关着
つく,つく,点亮、点燃
電気がつく,でんきがつく,点［灯］
消える,きえる,熄灭，关着
電気が消える,でんきがきえる,［灯］关着
込む,こむ,拥挤
道が込む,みちがこむ,［道路］拥挤
空く,すく,空，空闲
道が空く,みちがすく,［道路］不拥挤
壊れる,こわれる,坏了
椅子が壊れる,いすがこわれる,［椅子］坏了
割れる,われる,破碎、裂开
Cupが割れる,コップがわれる,［杯子］破了
折る,おる,倒了
木が折る,きがおる,树倒了
破れる,やぶれる,破、破损
紙が破れる,かみがやぶれる,［纸］撕烂了
汚れる,よごれる,脏、污染
服が汚れる,ふくがよごれる,［衣服］脏了
付く,つく,附有、带有
Pocketが付く,ポケットがつく,带有［口袋］
外れる,はずれる,脱落、掉下
Buttonが外れる,ボタンがはずれる,［纽扣］掉了
止まる,とまる,停住、停止、止住
Elevatorが止まる,エレベーターがとまる,［电梯］停了
間違える,まちがえる,弄错
落とす,おとす,丢失、弄丢
掛かる,かかる,挂，悬挂
鍵が掛かる,かぎがかかる,上着［锁］
「お」皿,「お」さら,盘子
「お」茶碗,「お」ちゃわん,饭碗
Cup,コップ,杯子
Glass,ガラス,玻璃
袋,ふくろ,袋子
財布,さいふ,钱包
枝,えだ,树枝
駅員,えきいん,车站工作人员
この辺,このへん,这一带、这附近
～辺,～へん,～的附近
このくらい,このくらい,这样大小的
お先にどうぞ,おさきにどうぞ,您先请
「ああ」よかった,「ああ」よかった,［啊］太好了（用于放心时）
今の電車,いまのでんしゃ,刚才的电车
忘れ物,わすれもの,遗忘的东西
～側,～がわ,～一侧的、～一边的
Pocket,ポケット,口袋
覚えていません,おぼえていません,不记得了
網棚,あみだな,行李网
確か,たしか,我记得、应该是、可能
地震,じしん,地震
壁,かべ,墙壁
針,はり,（钟表的）指针
指す,さす,指
駅前,えきまえ,车站前
倒れる,たおれる,倒、倒下
西,にし,西
方,ほう,方向
貼る,はる,贴、张挂
掛ける,かける,挂、悬挂
飾る,かざる,装饰
並べる,ならべる,排列
植える,うえる,种植
戻る,もどる,还、归还、送回
纏める,まとめる,汇集、收集、整理、归纳
片付ける,かたづける,收拾、整理
しまう,しまう,放回原处、回收
決める,きめる,决定
知らせる,しらせる,通知
相談する,そうだんする,商量、讨论
予習する,よしゅうする,预习
復習する,ふくしゅうする,复习
そのままにする,そのままにする,保持原状
お子さん,おこさん,（您的）孩子
授業,じゅぎょう,课、课程
講義,こうぎ,上课、讲义
Meeting,ミーティング,会议
予定,よてい,计划、预定
お知らせ,おしらせ,通知
案内書,あんないしょ,（旅行）指南
Calendar,カレンダー,日历
Post,ポスター,宣传画
ゴミ箱,ごみばこ,垃圾箱
人形,にんぎょう,娃娃、偶人
花瓶,かびん,花瓶
鏡,かがみ,镜子
引き出し,ひきだし,抽屉
玄関,げんかん,大门、入口
廊下,ろうか,走廊、过道
壁,かべ,墙壁
池,いけ,水池、池塘
交番,こうばん,派出所
元の所,もとのところ,原来的地方
周り,まわり,周围、附近
真ん中,まんなか,正中间
隅,すみ,角落
まだ,まだ,还
～ほど,～ほど,大约～、大概～
予定表,よていひょう,日程、时间表
ご苦労様,ごくろうさま,您辛苦了。（用于上司或年长对手下的工作表示感谢）
希望,きぼう,要求、希望
何か ご希望が ありますか,何か ごきぼうが ありますか,您有什么要求吗？
Musical,ミュージカル,音乐剧、音乐的
それは　いいですね,それは　いいですね,那太好了
ブロードウェイ,ブロードウェイ,百老汇
丸い,まるい,圆的
月,つき,月亮
ある～,ある～,某个～、一个～
地球,ちきゅう,地球
嬉しい,うれしい,高兴的、愉快的、快乐的
嫌（な）,いや（な）,讨厌
すると,すると,于是、这么一来
目が覚めます,めがさめます,醒、睡醒
始まる,はじまる,开始
式が始まる,しきがはじまる,［仪式］开始
続ける,つづける,继续
見つける,みつける,找、寻找
受ける,うける,参加
試験を受ける,しけんをうける,参加［考试］
入学する,にゅうがくする,进、上
大学に入学する,だいがくににゅうがくする,上［大学］
卒業する,そつぎょうする,毕业
大学に卒業する,だいがくにそつぎょうする,大学［毕业］
出席する,しゅっせきする,出席
会議に出席する,かいぎにしゅっせきする,出席［会议］
休憩する,きゅうけいする,休息
連休,れんきゅう,连休
作文,さくぶん,作文、写作
展覧会,てんらんかい,展览会
結婚式,けっこんしき,结婚典礼
「お」葬式,「お」そうしき,葬礼
式,しき,仪式
本社,ほんしゃ,总社、本社、总公司
支店,してん,分社、子公司
教会,きょうかい,教堂
大学院,だいがくいん,大学院、研究生院
動物園,どうぶつえん,动物园
温泉,おんせん,温泉
お客「さん」,おきゃく「さん」,客人、游客、顾客
だれか,だれか,某人
～の方,～のほう,～的方向、～的方面
ずっと,ずっと,一直
残る,のこる,留下、残留
月に,つきに,每个月、每月
普通の,ふつうの,平常的、一般的
インターネット,インターネット,互联网、因特网
村,むら,村、村庄
映画館,えいがかん,电影院
嫌（な）,いや　（な）,讨厌、令人讨厌
空,そら,天空
閉じる,とじる,闭上、关上
都会,とかい,城市
子供たち,こどもたち,孩子们
自由に,じゆうに,自由地
世界中,せかいじゅう,全世界
集まる,あつまる,集中
美しい,うつくしい,美丽的
自然,しぜん,自然
素晴らしい,すばらしい,美好、优点
気が付く,きがつく,意识到、注意到、发现
運動する,うんどうする,运动
成功する,せいこうする,成功
失敗する,しっぱいする,失败
しけんに失敗する,しけんにしっぱいする,［考试］失败
合格する,ごうかくする,合格
戻る,もどる,返回
止む,やむ,停
雨が止む,あめがやむ,［雨］停了
晴れる,はれる,晴朗
曇る,くもる,阴天
吹く,ふく,吹、刮
風が吹く,かぜがふく,刮［风］
治る、直る,なおる,治愈、治疗、修好、复原
病気が治る,びょうきがなおる,治好［病］
故障が直る,こしょうがなおる,排除［故障］
続く,つづく,持续、继续
熱が続く,ねつがつづく,持续［发烧］
引く,ひく,引
風邪が引く,かぜがひく,患［感冒］
冷やす,ひやす,冰、冰镇
心配「な」,しんぱい「な」,担心的
十分「な」,じゅうぶん「な」,足够的
おかしい,おかしい,奇怪的、可疑的
うるさい,うるさい,吵闹的、烦人的
やけど,やけど,烧伤、烫伤
けが,けが,伤
せき,せき,咳嗽
Influenza,インフルエンザ,流行性感冒
空,そら,天空
太陽,たいよう,太阳
星,ほし,星星
月,つき,月亮
風,かぜ,风
北,きた,北
南,みなみ,南
西,にし,西
東,ひがし,東
水道,すいどう,水稻、水管
Engine,エンジン,发动机
Team,チーム,队
今夜,こんや,今天晚上
夕方,ゆうがた,傍晚
前,まえ,以前
遅く,おそく,晚（时间上的）
こんなに,こんなに,这么（近称
そんなに,そんなに,那么（中称）
あんなに,あんなに,那么（远称）
もしかしたら,もしかしたら,如果、万一、或许（副词）
それは　いけませんね,それは　いけませんね,那可不行啊！
元気,げんき,健康、精神焕发
胃,い,胃
働き過ぎ,はたらきすぎ,工作过度劳累
ストレス,ストレス,疲劳、紧张
無理をする,むりをする,勉强
ゆっくりする,ゆっくりする,好好休息、慢慢做
星占い,ほしうらない,占星术、星相
牡牛座,おうしざ,金牛座
困る,こまる,麻烦了、糟了
宝くじ,たからくじ,彩票
当たる,あたる,中、命中
健康,けんこ,健康
恋愛,れんあい,恋愛
恋人,こいびと,恋人
お金持ち,おかねもち,有钱人、大款
逃げる,にげる,逃走
騒ぐ,さわぐ,吵嚷、吵闹
諦める,あきらめる,放弃、死心
投げる,なげる,扔、投
守る,まもる,保持、坚持
上げる,あげる,举起、抬起
下げる,さげる,放下、放低
伝える,つたえる,转告、转达
注意する,ちゅういする,小心、注意
車に注意する,くるまにちゅういする,注意［汽车］
外す,はずす,离开
席を外す,せきをはずす,离开［座位］
だめ「な」,だめ「な」,不行、不好
席,せき,座位
Fight,ファイト,加油
Mark,マーク,标记、标志
Ball,ボール,球
洗濯機,せんたくき,洗衣机
～機,～き,～機
規則,きそく,規則
使用禁止,しようきんし,禁止使用
立入禁止,たちいりきんし　,禁止入内
入口,いりぐち,入口
出口,でぐち,出口
非常口,ひじょうぐち,紧急出口
無料,むりょう,免费
本日休業,ほんじつきゅうぎょう,本日休息
営業中,えいぎょうちゅう,正在营业、营业中
使用中,しようちゅう,正在使用
～中,～ちゅう,正在～、～中
どういう～,どういう～,怎样的～、什么样的～
もう,もう,已经、不再（和否定一起使用）
あと～,あと～,～以后
駐車違反,ちゅうしゃいはん,违规停车
そりゃあ,そりゃあ,那么
～以内,～いない,～以内
警察,けいさつ,警察
罰金,ばっきん,罚款
電報,でんぽう,电报
人々,ひとびと,人们
急用,きゅうよう,急事
打つ,うつ,发、打
電報代,でんぽうだい,电报费
できるだけ,できるだけ,尽量、尽力
短く,みじかく,简短地
また,また,另外、再者
例えば,たとえば,例如
キトク,キトク,病危
重い,おもい,重、严重
明日,あす,明天
留守,るす,不在
留守番,るすばん,看家、看家人
お祝い,お「いわい」,祝贺、庆祝
亡くなる,なくなる,去世
悲しみ,かなしみ,悲伤、悲痛
利用する,りようする,利用、使用
磨く,みがく,刷
歯を磨く,はをみがく,刷［牙］
組み立てる,くみたてる,组装
折る,おる,折断、弯曲
気が付く,きがつく,注意
忘れ物に気が付く,わすれものにきがつく,注意［别忘东西］
浸ける,つける,蘸上
醤油を浸ける,しょうゆをつける,蘸上［酱油］
見つかる,みつかる,找到
鍵が見つかる,かぎがみつかる,找到［钥匙］
する,する,系
Necktieする,ネクタイをする,系［领带］
質問する,しつもんする,提问
細い,ほそい,瘦的、细的
太い,ふとい,胖的、粗的
盆踊り,ぼんおどり,盂兰盆节舞
Sports club,スポーツクラブ,体育俱乐部、运动俱乐部
家具,かぐ,家具
Key,キー,钥匙
Seatbelt,シートベルト,安全带
説明書,せつめいしょ,说明书
図,ず,图
線,せん,线
矢印,やじるし,箭头
黒,くろ,黒
白,しろ,白
赤,あか,赤
青,あお,青
紺,こん,深蓝
黄色,きいろ,黄色
茶色,ちゃいろ,茶色
醤油,しょうゆ,醤油
Sauce,ソース,酱汁、沙司
～か～,～か～,～或者～
昨夜,ゆうべ,昨晚
さっき,さっき,刚才
茶道,さどう,茶道
お茶を点てる,おちゃをたてる,泡茶、沏茶
先に,さきに,首先、先（表示行动的顺序）
載せる,のせる,放上
これでいいですか,これでいいですか,这样可以吗？
苦い,にがい,苦的
親子どんぶり,おやこどんぶり,鸡肉鸡蛋盖浇饭
材料,ざいりょう,材料
～分,～ぶん,～分
鳥肉,とりにく,鳥肉
～クラム,～クラム,～克
～個,～こ,～个（计算小物件品的量词）
たまねぎ,たまねぎ,洋葱
４分の1,よんぶんのいち,４分之1
調味料,ちょうみりょう,调味品
なべ,なべ,锅
火,ひ,火
火にかける,ひにかける,放在火上
煮る,にる,煮
煮える,にえる,煮熟
咲く,さく,开
花が咲く,はながさく,开［花］
変わる,かわる,变
色が変わる,いろがかわる,变［色］
困る,こまる,麻烦、为难
付ける,つける,加上
丸を付ける,まるをつける,画［圈］
拾う,ひろう,拾、捡
かかる,かかる,打、挂
電話がかかる,でんわがかかる,打［电话］
楽「だ」,らく「だ」,轻松的、容易的
正しい,ただしい,正确的
珍しい,めずらしい,少见的、不寻常的、珍奇的
方,かた,位（对「ひと」的尊敬说法）
向こう,むこう,对面
島,しま,島
村,むら,村庄
港,みなと,港口
近所,きんじょ,邻居
屋上,おくじょう,屋顶
海外,かいがい,海外、国外
山登り,やまのぼり,爬上、登山
Hiking,ハイキング,郊游
機会,きかい,机会
許可,きょか,许可
丸,まる,圆圈
操作,そうさ,操作
方法,ほうほう,方法
設備,せつび,设备
Curtain,カーテン,窗帘
ひも,ひも,绳子、绳索
蓋,ふた,盖、盖子
葉,は,叶子
曲,きょく,乐曲
楽しみ,たのしみ,快乐的、愉快的、乐趣
もっと,もっと,更、更加 （副词）
始めに,はじめに,最初、开始
これで終わります,これで終わります,到此结束
アフリカ,アフリカ,非洲
それなら,それなら,那样的话、如果是那样
夜行バス,やこうバス,夜行公共汽车
旅行社,りょこうしゃ,旅行社
詳しい,くわしい,详细的
スキー場,スキーじょう,滑雪场
朱,しゅ,红色的
交わる,まじわる,打交道、来往
諺,ことわざ,谚语
仲良くする,なかよくする,友好交往
必要（だ）,ひつよう（だ）,必要的、必须的
届く,とどく,送到，到达
荷物が届く,にもつがとどく,送［行李］
出る,でる,参加、出席、出场
試合に出る,しあいにでる,参加［比赛］
打つ,うつ,打
ワープロをうつ,ワープロをうつ,打［文字处理机］
貯金する,ちょきんする,储蓄、存钱
太る,ふとる,长胖
痩せる,やせる,变瘦
過ぎる,すぎる,（时间等）过去、逝去
７時を過ぎる,７じをすぎる,过［7点］
慣れる,なれる,适应
習慣に慣れる,しゅうかんいなれる,适应［习惯］
硬い,かたい,硬的
軟らかい,やわらかい,软的
電子～,でんし～,电子～
携帯～,けいたい～,便携式～
工場,こうじょう,工厂
健康,けんこう,健康
剣道,けんどう,剑道
毎週,まいしゅう,每周、每星期
毎月,まいつき,毎月
毎年,まいとし/まいねん,毎年
やっと,やっと,终于  （副词）
かなり,かなり,相当、很
必ず,かならず,一定、肯定
絶対に,ぜったいに,绝对（和否定形一起使用）
上手に,じょうずに,擅长
出来るだけ,できるだけ,尽量  （副词）
このごろ,このごろ,这些天、最近
～ずつ,～ずつ,每～、各～
そのほうが～,そのほうが～,那样更～
ショパン,ショパン,肖邦
お客様,おきゃくさま,客人、顾客
特別「な」,とくべつ「な」,特别的
していらっしゃいます,していらっしゃいます,正在做～(しています的尊敬语)
水泳,すいえい,游泳
～とか、～とか,～とか、～とか,～或、～等
タンゴ,タンゴ,探戈
チャレンジします,チャレンジします,挑战
気持ち,きもち,心情、情绪
乗り物,のりもの,交通工具
歴史,れきし,历史
～世紀,～せいき,～世紀
遠く,とおく,远、远处
汽車,きしゃ,火车
汽船,きせん,汽船
大勢の～,おおぜいの～,很多的（人）
運ぶ,はこぶ,运送
飛ぶ,とぶ,飞、飞翔
安全「だ」,あんぜん「だ」,安全的
宇宙,うちゅう,宇宙
地球,ちきゅう,地球
ライト兄弟,ライトきょうだい,莱特兄弟
褒める,ほめる,表扬
叱る,しかる,批评
誘う,さそう,邀请
起こす,おこす,叫醒
招待する,しょうたいする,招待
頼む,たのむ,请求、要求、拜托
注意する,ちゅういする,提醒、警告
取る,とる,抢、偷
踏む,ふむ,踩
壊す,こわす,弄坏、弄碎
汚す,よごす,弄脏
行う,おこなう,举行
輸出する,ゆしゅつする,出口
輸入する,ゆにゅうする,进口
翻訳する,ほんやくする,翻译
発明する,はつめいする,发明
設計する,せっけいする,设计、规划
米,こめ,大米
麦,むぎ,麦子
石油,せきゆ,石油
原料,げんりょう,原料
Date,デート,约会
泥棒,どろぼう,小偷、强盗
警官,けいかん,警察
建築家,けんちくか,建筑师
科学者,かがくしゃ,科学家
漫画,まんが,漫画、卡通、连环画
世界中,せかいじゅう,全世界
～中,～じゅう,全～、整个～
～に　よって,～に　よって,根据～、由～
よかったですね,よかったですね,太好了、太棒了
ドミニカ,ドミニカ,多米尼加共和国
サウジアラビア,サウジアラビア,沙特阿拉伯
埋め立てる,うめたてる,填埋
技術,ぎじゅつ,技术
土地,とち,土地
騒音,そうおん,噪音
利用する,りようする,利用、用
Access,アクセス,通路、方法
～世紀,～せいき,～世纪
豪華（だ）,ごうか（だ）,豪华
彫刻,ちょうこく,雕刻
眠る,ねむる,睡
はる,はる,雕
仲間,なかま,朋友、友人、伙伴儿
そのあと,そのあと,之后、然后
一生懸命,いっしょうけんめい,拼命
鼠,ねずみ,老鼠
一匹もいません,いっぴきもいません,一只也没有
眠り猫,ねむりねこ,熟睡的猫
育てる,そだてる,养育、抚育、抚养
運ぶ,はこぶ,运送
亡くなる,なくなる,去世
入院する,にゅういんする,住院
退院する,たいいんする,出院
入れる,いれる,打开
電源を入れる,でんげんをいれる,打开［电源］
切る,きる,切、切断
電源を切る,でんげんをきる,切断［电源］
掛ける,かける,锁
鍵を掛ける,かぎをかける,锁上［锁］
気持ちがいい,きもちがいい,舒服、舒畅
気持ちが悪い,きもちがわるい,不舒服、不舒畅
大きな～,おおきな～,大的～
小さな～,ちいさな～,小的～
赤ちゃん,あかちゃん,婴儿
小学校,しょうがっこう,小学
中学校,ちゅうがっこう,中学
駅前,えきまえ,车站前
海岸,かいがん,海岸、海滩
嘘,うそ,撒谎、谎言
書類,しょるい,文件
電源,でんげん,电源
～製,～せい,～制造
「あ、」いけない,「あ、」いけない,［噢］糟了、不好
お先に「失礼する」,おさきに「しつれいする,我先～
回覧,かいらん,传阅
研究室,けんきゅうしつ,研究室
きちんと,きちんと,整洁的、整齐的、很好的
整理します,せいりします,整理、收拾
～と　いう　ほん,～と　いう　ほん,一本叫～的书
～冊,～さつ,～本
はんこ,はんこ,印章
押す,おす,盖
はんこをおす,はんこをおす,盖章
双子,ふたご,孪生子
姉妹,しまい,姐妹
似ている,にている,相像、相似
性格,せいかく,性格
大人しい,おとなしい,文静的、老实的、安静的
世話をする,せわをする,照顾
時間が経つ,じかんがたつ,时间流逝
大好き,だいすき,很喜欢的
～点,～てん,～分
クラス,クラス,班、班级
喧嘩する,けんかする,吵架、打架
不思議（だ）,ふしぎ,不可思议的
答える,こたえる,回答
質問に答える,しつもんにこたえる,回答［问题］
倒れる,たおれる,倒塌
Buildingが倒れる,ビルがたおれる,［大楼］倒塌
焼ける,やける,着火、燃烧
家が焼ける,うちがやける,［房屋］着火
Panが焼ける,パンがやける,烤［面包］
肉が焼ける,にくがやける,烤［肉］
通る,とおる,通过
道を通る,みちをとおる,痛过［街道］
死ぬ,しぬ,死
吃驚する,びっくりする,吃惊
がっかりする,がっかりする,失望
安心する,あんしんする,安心、放心
遅刻する,ちこくする,迟到
喧嘩する,けんかする,早退
離婚する,りこんする,吵架
複雑（だ）,ふくざつ,离婚
邪魔（だ）,じゃま,复杂的
汚い,きたない,肮脏的
嬉しい,うれしい,高兴的
悲しい,かなしい,悲伤的
恥ずかしい,はずかしい,可耻的、害羞的
地震,じしん,地震
台風,たいふう,台風
火事,かじ,火灾
事故,じこ,事故
「お」見合い,「お」みあい,相亲
電話代,でんわだい,电话费
～代,～だい,～费
Front,フロント,前台、问询
～号室,～ごうしつ,～号房间
汗,あせ,汗
Towel,タオル,毛巾
石鹸,せっけん,肥皂、香皂
大勢,おおぜい,许多人
おつかれさまでした,おつかれさまでした,您辛苦了（一般用于同事或上对下）
伺います,うかがいます,去、拜访（行く的自谦说法）
途中で,とちゅうで,途中、路上、半途
Track,トラック,卡车
ぶつかる,ぶつかる,碰、撞
並ぶ,ならぶ,排队、并排
おとな,おとな,成年人
洋服,ようふく,西式服装
西洋化する,せいようかする,西化
合う,あう,适合、合适
今では,いまでは,现在
成人式,せいじんしき,成人仪式
数える,かぞえる,数
計る、量る,はかる,量、称
確かめる,たしかめる,确认
合う,あう,符合
Sizeが合う,サイズがあう,［尺寸］符合
出発する,しゅっぱつする,出发
到着する,とうちゃくする,到达
酔う,よう,喝醉
危険「な」,きけん「な」,危险的
必要「な」,ひつよう「な」,必要的
宇宙,うちゅう,宇宙
地球,ちきゅう,地球
忘年会,ぼうねんかい,辞旧迎新会
新年会,しんねんかい,新年联欢会
二次会,にじかい,二次聚会
大会,たいかい,大会
Marathon,マラソン,马拉松
Contest,コンテスト,比赛、竞赛
表,おもて,表面、正面
裏,うら,背面、里面
返事,へんじ,回答、答复
申し込み,もうしこみ,申请
本当,ほんとう,真的、事实
間違い,まちがい,错、错误
傷,きず,伤、缺陷
Jupon,ズボン,裤子
長さ,ながさ,长度
重さ,おもさ,重量
高さ,たかさ,高度
大きさ,おおきさ,大小
～便,～びん,～航班
～号,～ごう,～次（火车车次等）
～個,～こ,～个（数小件物品的量词）
～本,～ほん（～ぽん、～ばん）,～枝、条（数细长物品的量词）
～杯,～はい（～ぱい、～ばい）,～杯
～Kilo,～キロ,～公斤、公里
～Gram,～グラム,～克
～Centy,～センチ,～厘米
～Mili,～ミリ,～毫米
～以上,～いじょう,～以上、不少于～、超过～
～以下,～いか,～以下、不多于～、低于～
さあ,さあ,喂、
どうでしょうか,どうでしょうか,～怎么样？
Class,クラス,班级
Test,テスト,考试、测试
成績,せいせき,成績
ところで,ところで,（转化话题）可是
いらっしゃいます,いらっしゃいます,来（来ます的尊敬语）
様子,ようす,情况、情形、样子
事件,じけん,事件
オートバイ,オートバイ,摩托车
爆弾,ばくだん,炸弹
積む,つむ,堆积起来、装
運転手,うんてんしゅ,司机
離れた,はなれた,相距
が,が,但是
急に,きゅうに,突然
動かす,うごかす,移动、开动、变动
一所懸命,いっしょけんめい,拼命
犯人,はんにん,犯人
手に入れる,てにいれる,到手、得到
今でも,いまでも,现在就
噂する,うわさする,谣传
いただきます,いただきます,手下（もらいます）的自谦
くださいます,くださいます,给（くれます）的尊敬
やります,やります,给（对地位低的人或动植物）
呼びます,よびます,邀请
取り替えます,とりかえます,交换
親切にします,しんせつにします,对...友好和善
可愛い,かわいい,可爱的
お祝い,おいわい,祝贺，礼物
お年玉,おとしだま,压岁钱
「お」見舞い,「お」みまい,探病 探视 慰问
興味,きょうみ,兴趣
情報,じょうほう,资讯 情报
文法,ぶんぽう,语法
発音,はつおん,发音
猿,さる,猴子
餌,えさ,饲料
玩具,おもちゃ,玩具
絵本,えほん,画册
絵葉書,えはがき,风景明信片
Driver,ドライバー,螺丝起子
Handkerchief,ハンカチ,手帕
くつした,くつした,袜子
手袋,てぶくろ,手套
指輪,ゆびわ,戒指
Bag,バッグ,手提包
祖父,そふ,自己的祖父
祖母,そぼ,自己的祖母
孫,まご,孙子
おじ,おじ,自己的叔伯舅
おじさん,おじさん,别人的叔伯舅
おば,おば,自己的婶姨
おばさん,おばさん,别人的婶姨
一昨年,おととし,前年
はあ,はあ,哦
申し訳ありません,もうしわけありません,对不起
預かります,あずかります,收存 保管
先日,せんじつ,前些日子 前几天
助かります,たすかります,得到帮助 得救
昔話,むかしばなし,传说 故事 
ある,ある,某 有的
男,おとこ,男性
子供たち,こどもたち,孩子们
いじめます,いじめます,欺负
かめ,かめ,乌龟
助けます,たすけます,救 帮助
お城,おしろ,城堡
お姫様,おひめさま,公主
楽しく,たのしく,愉快地 快乐地
暮らします,くらします,生活
陸,りく,陆地
すると,すると,于是就 这么一来
煙,けむり,烟 
真っ白,まっしろ,洁白
中身,なかみ,内容 装在里面的东西
包みます,つつみます,包 包围
沸かします,わかします,烧开 使沸腾
混ぜます,まぜます,混合
計算します,けいさんします,计算
厚い,あつい,厚的
薄い,うすい,薄的
弁護士,べんごし,律师
音楽家,おんがくか,音乐家
子供たち,こどもたち,孩子们
二人,ふたり,两个人
